operating_date,timestamp,executed,baseline,final_commitment,load_energy,pv_energy,price,charge,discharge,emergency,spill,mode,soc_before,soc_after
2025-01-27,2025-01-27T10:30:00,True,0.0,0.0,1200.7183333333332,1070.13125,0.9549,0.0,0.0,130.58708333333334,0.0,0.0,1200.0,1200.0
2025-01-27,2025-01-27T10:40:00,True,0.0,0.0,1171.4464166666667,1034.3669833333333,0.9839,0.0,0.0,137.07943333333333,0.0,0.0,1200.0,1200.0
2025-01-27,2025-01-27T10:50:00,True,42.25027542735006,42.25027542735006,1133.5344166666666,991.63445,0.799,0.0,0.0,99.64969123931655,0.0,0.0,1200.0,1200.0
2025-01-27,2025-01-27T11:00:00,True,856.4756102564103,856.4756102564103,1115.4666666666667,990.1499999999999,0.5025,731.1589435897434,0.0,0.0,1.104280593272848e-13,1.0,1200.0,1858.0430492307692
2025-01-27,2025-01-27T11:10:00,True,822.5172643162394,822.5172643162394,1135.2703166666665,1005.2475999999999,0.4662,692.4945476495728,0.0,0.0,0.0,1.0,1858.0430492307692,2481.2881421153847
2025-01-27,2025-01-27T11:20:00,True,785.6079094017094,791.2365482905985,1165.7362666666666,1022.8676333333333,0.5007,648.3679149572653,0.0,0.0,0.0,1.0,2481.2881421153847,3064.8192655769235
2025-01-27,2025-01-27T11:30:00,True,749.3761865384616,764.7536365384616,1167.1983333333333,1036.05,0.4827,633.6053032051283,0.0,0.0,0.0,1.0,3064.8192655769235,3635.064038461539
2025-01-27,2025-01-27T11:40:00,True,717.399779059829,742.5260401709401,1118.3945333333331,1047.8580166666666,0.4785,671.9895235042735,0.0,0.0,0.0,1.0,3635.064038461539,4239.854609615385
2025-01-27,2025-01-27T11:50:00,True,665.8315337606834,700.7066059829058,1074.1522499999999,1084.7816666666665,0.4662,711.3360226495724,0.0,0.0,0.0,1.0,4239.854609615385,4880.05703
2025-01-27,2025-01-27T12:00:00,True,600.9120192307694,765.07625,1060.9616666666666,1129.21875,0.4432,833.3333333333334,0.0,0.0,0.0,1.0,4880.05703,5630.05703
2025-01-27,2025-01-27T12:10:00,True,612.8459532051282,851.6649865384614,1057.7001,1128.1218999999999,0.4411,833.3333333333334,0.0,0.0,88.75345320512793,1.0,5630.05703,6380.05703
2025-01-27,2025-01-27T12:20:00,True,635.515291025641,850.3751576923074,1043.5985166666665,1086.7053333333333,0.4551,833.3333333333331,0.0,0.0,60.148641025641155,1.0,6380.05703,7130.05703
2025-01-27,2025-01-27T12:30:00,True,656.2290705128207,847.1297705128204,1028.4583333333333,1034.5375,0.4463,833.3333333333334,0.0,0.0,19.875603846153695,1.0,7130.05703,7880.05703
2025-01-27,2025-01-27T12:40:00,True,674.4824551282052,841.4239884615383,1042.7972499999998,998.2097999999999,0.4113,796.8365384615382,0.0,0.0,1.1368683772161603e-13,1.0,7880.05703,8597.209914615385
2025-01-27,2025-01-27T12:50:00,True,709.8269461538464,852.8093128205128,1079.6082833333332,957.6549499999999,0.5682,730.8559794871794,0.0,0.0,0.0,1.0,8597.209914615385,9254.980296153846
2025-01-27,2025-01-27T13:00:00,True,0.0,44.02342564102537,1109.8049999999998,931.3562499999999,0.8279,0.0,0.0,134.42532435897454,0.0,0.0,9254.980296153846,9254.980296153846
2025-01-27,2025-01-27T13:10:00,True,0.0,64.57117200854691,1103.42745,957.4716666666666,0.8636,0.0,0.0,81.38461132478642,0.0,0.0,9254.980296153846,9254.980296153846
2025-01-27,2025-01-27T13:20:00,True,0.0,79.05199722222187,1076.7651166666665,956.1175,0.8416,0.0,0.0,41.59561944444465,0.0,0.0,9254.980296153846,9254.980296153846
2025-01-27,2025-01-27T13:30:00,True,0.0,95.04882371794861,1063.8833333333332,920.31875,0.8618,0.0,0.0,48.51575961538458,0.0,0.0,9254.980296153846,9254.980296153846
2025-01-27,2025-01-27T13:40:00,True,0.0,107.09272649572631,1088.0294,917.5850666666666,0.8623,0.0,0.0,63.35160683760694,0.0,0.0,9254.980296153846,9254.980296153846
2025-01-27,2025-01-27T13:50:00,True,0.0,0.0,1106.8606166666666,904.0937666666666,0.9026,0.0,0.0,202.76684999999998,0.0,0.0,9254.980296153846,9254.980296153846
2025-01-27,2025-01-27T14:00:00,True,0.0,0.0,1106.895,866.6062499999999,0.9754,0.0,221.5361012478628,18.752648752137247,0.0,0.0,9254.980296153846,9008.82907254511
2025-01-27,2025-01-27T14:10:00,True,0.0,0.0,1112.29205,837.03405,1.0002,0.0,274.3392737179495,0.9187262820505566,0.0,0.0,9008.82907254511,8704.007657302944
2025-01-27,2025-01-27T14:20:00,True,0.0,0.0,1116.5392166666666,791.7592333333333,0.9978,0.0,0.0,324.77998333333323,0.0,0.0,8704.007657302944,8704.007657302944
2025-01-27,2025-01-27T14:30:00,True,0.0,0.0,1106.3716666666664,739.59375,1.0271,0.0,199.1649025640986,167.61301410256783,0.0,0.0,8704.007657302944,8482.713321120613
2025-01-27,2025-01-27T14:40:00,True,0.0,0.0,1082.5671166666666,715.2518499999999,1.0906,0.0,243.87615491453312,123.43911175213361,0.0,0.0,8482.713321120613,8211.739815660021
2025-01-27,2025-01-27T14:50:00,True,0.0,0.0,1092.4181333333331,671.8901,0.9376,0.0,-1.7053025658242404e-12,420.52803333333486,0.0,0.0,8211.739815660021,8211.739815660023
2025-01-27,2025-01-27T15:00:00,True,213.79903846153877,1214.0042217948721,1103.8233333333333,603.18125,0.6694,713.3621384615391,0.0,0.0,-2.2737367544323206e-13,1.0,8211.739815660023,8853.765740275408
